timer,temp,vibX,vibY,vibZ,magnitude,rms,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:47:21,30.25,-9.767,-3.57,-1.569,10.517,6.072,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:47:27,30.67,-9.689,-3.609,-1.491,10.446,6.031,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:47:31,30.67,-9.689,-3.687,-1.569,10.485,6.053,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:47:35,30.31,-9.728,-3.687,-1.491,10.51,6.068,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:47:47,30.11,-9.493,-3.727,-1.569,10.318,5.957,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:47:51,30.15,-9.689,-3.57,-1.412,10.422,6.017,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:47:56,30.09,-9.728,-3.648,-1.491,10.496,6.06,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:48:01,30.23,-9.493,-3.648,-1.491,10.278,5.934,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:48:07,30.11,-9.728,-3.57,-1.491,10.469,6.044,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:48:13,30.11,-9.336,-3.727,-1.451,10.156,5.864,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:48:20,30.19,-9.571,-3.883,-1.412,10.425,6.019,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:48:26,30.15,-9.571,-3.727,-1.451,10.373,5.989,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:48:33,30.23,-10.003,-3.295,-1.569,10.648,6.147,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:48:40,30.17,-9.65,-3.962,-1.412,10.527,6.078,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:48:45,30.17,-9.65,-3.766,-1.451,10.46,6.039,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:48:51,30.23,-9.767,-3.687,-1.53,10.552,6.092,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:48:57,30.59,-9.689,-3.687,-1.491,10.474,6.047,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:49:03,30.81,-9.807,-3.609,-1.569,10.567,6.101,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:49:08,30.85,-9.728,-3.648,-1.53,10.502,6.063,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:49:14,30.23,-9.767,-3.648,-1.491,10.532,6.081,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:49:19,30.25,-9.767,-3.648,-1.608,10.55,6.091,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:49:25,30.29,-9.767,-3.648,-1.53,10.538,6.084,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:49:30,30.25,-9.728,-3.648,-1.53,10.502,6.063,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:49:33,30.37,-9.689,-3.648,-1.648,10.483,6.053,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:49:40,30.87,-9.728,-3.648,-1.491,10.496,6.06,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:49:47,30.47,-9.767,-3.648,-1.451,10.527,6.078,,,,,,,,,,,,,,,,,,,,,
